1,2
2,2
3,2
4,3
5,1
6,1
7,1
8,2
9,3
10,1
11,1
12,4
13,1
14,1
15,3
16,1
17,4
18,0
19,1
20,1
,
22,1
23,1
24,1
25,2
26,1
27,1
28,1
29,3
30,4
31,3
32,3
33,3
34,4
35,0
36,3
37,2
38,0
39,5
40,2
41,3
42,5
43,1
44,2
45,4
46,4
47,3
48,3
49,4
50,3
51,2
52,3
53,3
54,4
55,4
56,3
57,4
58,5
59,4
60,3
61,4
62,2
63,1
64,2
65,2
66,1
67,1
68,1
69,0
70,0
71,0
72,2
73,2
74,3
75,4
76,2
77,0
78,1
79,0
80,2
81,4
82,2
83,2
84,3
85,3
86,0
87,2
88,1
89,4
90,0
91,1
92,5
93,4
94,4
95,2
96,2
97,4
98,2
99,1
100,1
101,5
102,5
103,5
104,0
105,4
106,2
107,2
108,4
109,5
110,4
111,4
112,3
113,4
114,4
115,4
116,3
117,4
118,3
119,1
120,4
121,5
122,3
123,3
124,0
125,2
126,3
127,3
128,2
129,3
130,4
131,5
132,5
133,5
134,3
135,3
136,3
137,4
138,3
139,2
140,3
141,3
142,4
143,4
144,4
145,4
146,5
147,3
148,3
149,2
150,4
